"Kommun_code"	"Year"	"Kommun_name"	"Revenue"	"Employee"	"Population"	"Population_University"	"Percent_University"	"Productivity"	"SalesIndex"	"Infrast"	"Border"
"2583"	"2010"	"Haparanda"	"1078"	"276"	"10059"	"719"	"0.07147828"	"195.74174"	"111.075774"	"0"	"1"
"880"	"2010"	"Kalmar"	"3790"	"1621"	"62815"	"8716"	"0.13875667"	"117.17365"	"390.516869"	"0"	"0"
"1780"	"2010"	"Karlstad"	"4560"	"1910"	"85753"	"13308"	"0.15518991"	"119.64794"	"469.856708"	"0"	"0"
"114"	"2010"	"Upplands Väsby"	"1366"	"708"	"39289"	"4419"	"0.11247423"	"96.69215"	"140.750935"	"0"	"0"
"115"	"2010"	"Vallentuna"	"171"	"99"	"30114"	"3843"	"0.12761506"	"86.56347"	"17.619627"	"0"	"0"
"117"	"2010"	"Österåker"	"563"	"314"	"39521"	"5011"	"0.12679335"	"89.85712"	"58.010817"	"0"	"0"
"120"	"2010"	"Värmdö"	"920"	"454"	"38301"	"4720"	"0.12323438"	"101.55604"	"94.795652"	"0"	"0"
"123"	"2010"	"Järfälla"	"5119"	"2001"	"66211"	"9009"	"0.13606500"	"128.20702"	"527.455371"	"0"	"0"
"125"	"2010"	"Ekerö"	"144"	"116"	"25410"	"3893"	"0.15320740"	"62.21259"	"14.837580"	"0"	"0"
"126"	"2010"	"Huddinge"	"7153"	"2374"	"97453"	"12795"	"0.13129406"	"151.00150"	"737.036192"	"0"	"0"
"127"	"2010"	"Botkyrka"	"1469"	"530"	"82608"	"8023"	"0.09712134"	"138.90558"	"151.363926"	"0"	"0"
"128"	"2010"	"Salem"	"27"	"68"	"15391"	"1900"	"0.12344877"	"19.89888"	"2.782046"	"0"	"0"
"136"	"2010"	"Haninge"	"1459"	"1031"	"77054"	"6776"	"0.08793833"	"70.92027"	"150.333539"	"0"	"0"
"138"	"2010"	"Tyresö"	"480"	"290"	"42947"	"5219"	"0.12152188"	"82.95012"	"49.458601"	"0"	"0"
"139"	"2010"	"Upplands-Bro"	"222"	"80"	"23676"	"2520"	"0.10643690"	"139.07106"	"22.874603"	"0"	"0"
"140"	"2010"	"Nykvarn"	"16"	"20"	"9331"	"891"	"0.09548816"	"40.09256"	"1.648620"	"0"	"0"
"160"	"2010"	"Täby"	"3441"	"1546"	"63789"	"13442"	"0.21072599"	"111.54470"	"354.556345"	"0"	"0"
"162"	"2010"	"Danderyd"	"500"	"272"	"31330"	"8448"	"0.26964571"	"92.12444"	"51.519376"	"0"	"0"
"163"	"2010"	"Sollentuna"	"2393"	"1116"	"64630"	"12322"	"0.19065449"	"107.46134"	"246.571733"	"0"	"0"
"180"	"2010"	"Stockholm"	"32897"	"18795"	"847073"	"191585"	"0.22617295"	"87.71780"	"3389.665819"	"1"	"0"
"181"	"2010"	"Södertälje"	"2191"	"894"	"86246"	"8734"	"0.10126846"	"122.82270"	"225.757905"	"0"	"0"
"182"	"2010"	"Nacka"	"3104"	"1489"	"90108"	"17871"	"0.19832867"	"104.47221"	"319.832286"	"0"	"0"
